"","id","user_name_anon","user_location","user_location_country","user_description","user_created","user_created_year","user_created_month","user_created_day","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","source","retweets","favorites","is_retweet"
"1",1426219804730351616,"1e4e8cdd","United States","USA","","2020-11-16 17:22:00",2020,11,16,173,190,8686,"False","2021-08-13 16:31:13","An 89-year-old man died just days after receiving #Sinopharm vaccine. The vaccinated man was in good health and had… https://t.co/YOABq3hxMv","['Sinopharm']","Twitter for Android",0,0,"False"
"2",1461505948204167168,"ae3cf88a","Seattle, WA","USA","#Ocugen#Covaxin saves life on earth 🌍 #SafeMoon is the safe way to the Moon 🌙","2020-12-08 20:53:53",2020,12,8,46,156,4305,"False","2021-11-19 01:25:46","@RepThomasMassie Of course Conventional vaccine, in COVID-19 case I will only take #Covaxin which is codeveloped by… https://t.co/fhSveNPf4J","['Covaxin']","Twitter for iPhone",1,13,"False"
"3",1443781443067523072,"dca099dc","New York, USA","USA","If you know…you know. Opinions are my own-not financial/legal advice.","2020-02-25 19:50:19",2020,2,25,92,165,235,"False","2021-10-01 03:34:54","“Sino” folk don’t even recognize #sinovac as a valid vaccination. Ask #reginaip #HKG https://t.co/8y6t0ONeyI","['sinovac', 'reginaip', 'HKG']","Twitter for iPhone",0,0,"False"
"4",1442671163843489792,"334b4963","Miami, FL","USA","Living through the societal collapse of the United States in Real Time here in Minneapolis, Saint Paul , Minnesota 🔥 Follow Will Follow Back 👍🏻","2020-04-27 15:02:43",2020,4,27,716,780,14805,"False","2021-09-28 02:03:03","Johnson &amp; Johnson: 'Kids Shouldn’t Get A F*cking [COVID] Vaccine;' There... https://t.co/PAZJObG9kg via @YouTube… https://t.co/GTQ2ZnBfCN","","Twitter for iPhone",5,7,"False"
"5",1372201233755308032,"f7a14f63","United States","USA","Access to First Databank's drug pricing database with more than 90 attributes & data points for virtually every FDA approved drug. #DrugPricing 

RT≠Endorsement","2020-03-27 18:34:46",2020,3,27,1096,1805,10,"False","2021-03-17 15:00:43","Five things for health marketers to know: Wednesday, March 17, 2021 - https://t.co/EwV3AfSAyZ via @MMMnews… https://t.co/UdGWYpyo5t","","Buffer",0,0,"False"
"6",1370808201969463296,"75e963bb","Utah, USA","USA","former candidate, retired public health nurse, TB clinic, and grandma to special needs angel. #BLM, #publiclands, #postcardstovoters, #birds","2020-03-22 15:39:38",2020,3,22,1488,2562,8343,"False","2021-03-13 18:45:18","Here is a weird side effect from the #Moderna vaccine. Yesterday, i got Moderna#2 in my right arm. In addition to t… https://t.co/J7232qH9nd","['Moderna']","Twitter for Android",0,8,"False"
"7",1439628098333560832,"05fa028d","United States |🇺🇸|🏳️‍🌈","USA","Doublethink means the power of holding two contradictory beliefs in one's mind simultaneously, and accepting both of them - George Orwell, 1984. Identify as👽","2020-06-09 15:40:34",2020,6,9,31,168,545,"False","2021-09-19 16:31:00","Big pharma is the 👹#pfizer #merck #moderna #johnsonandjohnson","['pfizer', 'merck', 'moderna', 'johnsonandjohnson']","Twitter for iPhone",0,0,"False"
"8",1426210057323094016,"70f3b353","United States","USA","Love can make happy","2020-09-07 09:40:57",2020,9,7,291,377,1004,"False","2021-08-13 15:52:30","An 89-year-old man died just days after receiving #Sinopharm vaccine. The vaccinated man was in good health and had… https://t.co/X9Jzc7Irnw","['Sinopharm']","Twitter for Android",0,0,"False"
"9",1376971446115840000,"e62bc1e0","Pennsylvania, USA","USA","Keeping politics separate from Tucker the Vizsla’s doggie account @vizslaspgh.🐾 In the mountains, Laurel Highlands, PA. 😎","2020-01-08 19:57:58",2020,1,8,147,1030,16426,"False","2021-03-30 18:55:50","#Moderna vaccine received 😎 All cool so far 👍🏻","['Moderna']","Twitter for iPad",0,0,"False"
"10",1381957505862008832,"287e18fe","USA","USA","#GamblingTwitter #Investing #Sports and #Entertainment Tips appreciated via CashApp tag $SD008","2020-01-15 15:29:21",2020,1,15,135,225,4739,"False","2021-04-13 13:08:39","@Breaking911 Again, more the reason for @Ocugen + #Covaxin + @BharatBiotech","['Covaxin']","Twitter Web App",0,1,"False"
"11",1410642615582609408,"5f22deb0","Los Angeles, CA","USA","Mom of 2️⃣ | 6yr old T1d dx’d 3/11/16 | Spreading awareness & education through my info-blog and designs at https://t.co/wuwqomHp85 | #insulin4all #advocate","2020-05-12 06:15:57",2020,5,12,67,243,3912,"False","2021-07-01 16:53:02","This is why I’m concerned for my (extended) family in China. My hubs grandparents likely got the #SinoVac… https://t.co/1SZ0GL5Nso","['SinoVac']","Twitter for iPhone",0,0,"False"
"12",1452187744034295808,"07e7a4d0","Oregon, USA","USA","🦹‍♂️Entropic Supervillain♻️
🦖Father \ Writer & Artist🎨
🔭Surveying One Lifetime☕️
🦄@nirazjaku💍
.
#GetVaccinated💉
#WearAMask
#StaySafe👍
#Gamer🕹️
#Furry😼","2020-06-29 20:02:46",2020,6,29,7661,7110,21817,"False","2021-10-24 08:18:33","@karebear0517 Probably, in due time.
I got #Moderna stick, so it's probably gonna be a bit yet. But it is the corre… https://t.co/dYtOskc9mG","['Moderna']","Twitter Web App",0,0,"False"
